,brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,warranty,msoffice,Price,rating,Number of Ratings,Number of Reviews
344,370,1,20,130,220,400,512,0,500,64,1,0,55990,3,0,0
345,310,1,20,130,220,400,512,0,500,64,1,1,53190,4,11,0
346,320,1,20,110,220,400,512,0,500,32,2,1,58999,4,45,3
347,360,1,20,130,220,400,512,0,500,64,3,0,71990,3,0,0
348,350,1,20,130,220,400,512,0,500,32,0,0,82000,3,0,0
349,310,1,20,130,220,420,512,0,500,64,0,0,84990,3,0,0
350,320,1,20,130,220,400,512,0,500,64,0,0,89998,3,0,0
351,310,1,20,130,220,420,512,0,500,64,1,0,99990,3,0,0
353,320,1,20,110,220,400,512,0,500,64,0,0,69899,4,474,37
354,360,1,20,110,220,400,512,0,500,64,1,0,79990,3,0,0
355,360,1,20,110,220,400,512,0,500,64,1,0,76300,4,6,0
356,320,1,20,110,220,400,512,0,500,64,1,1,55999,3,0,0
357,360,1,20,130,220,400,512,0,500,64,0,0,72900,3,24,4
358,360,1,20,130,220,400,512,0,500,64,1,1,73990,4,195,17
359,310,1,20,130,220,410,512,0,500,64,0,0,84990,3,0,0
360,360,1,20,130,220,400,512,0,500,32,0,0,73519,3,0,0
361,350,1,20,110,220,400,512,0,500,64,1,0,126000,5,2,1
362,310,1,20,130,220,400,512,0,500,64,1,0,88990,3,0,0
363,350,1,20,130,220,400,512,0,500,64,1,1,114999,3,0,0
364,360,1,20,130,220,400,512,0,500,64,1,1,82990,4,21,2
365,330,1,20,130,220,400,512,0,500,64,0,0,109999,3,0,0
366,320,1,20,130,220,400,512,0,500,64,1,1,82990,3,0,0
367,360,1,20,130,220,400,512,0,500,64,1,1,79990,4,5,0
368,310,1,20,130,220,420,512,0,500,64,1,0,114990,3,0,0
369,350,1,20,130,220,420,512,0,500,64,1,0,129999,3,0,0
370,370,1,20,150,220,430,512,0,500,32,0,0,149990,4,10,3
371,360,1,20,130,220,400,512,0,500,64,0,0,71290,3,0,0
372,360,1,20,110,220,400,512,0,500,64,1,1,79500,4,10,1
373,360,1,20,110,220,400,512,0,500,64,1,1,82990,3,15,3
374,360,1,20,130,220,400,512,0,500,64,1,1,70980,4,138,23
376,350,1,20,130,220,400,512,0,500,32,0,0,94000,3,0,0
377,360,1,20,130,220,400,512,0,500,64,0,0,82990,4,16,3
378,370,1,20,130,220,420,512,0,500,64,1,0,79990,4,11,4
379,310,1,20,150,220,400,512,0,500,64,0,0,85990,3,0,0
380,310,1,20,110,220,400,512,0,500,64,0,0,86990,3,0,0
381,310,1,20,110,220,450,512,0,500,64,1,1,105990,5,4,0
382,310,1,20,110,220,450,512,0,500,64,0,0,84990,3,0,0
383,320,1,20,150,220,400,512,0,500,64,1,1,59999,4,22,3
384,320,1,20,130,220,400,512,0,500,64,1,1,91999,4,16,2
385,360,1,20,130,220,400,512,0,500,64,1,1,78900,3,16,1
386,310,1,20,110,220,450,512,0,500,64,0,0,132790,3,0,0
387,320,1,20,130,220,400,512,0,500,64,0,0,60990,3,14,6
388,340,1,20,140,220,400,512,0,500,64,0,0,65556,3,0,0
389,360,1,20,130,230,400,512,0,500,64,0,0,70190,3,6,3
390,360,1,20,130,220,400,512,0,500,64,1,0,79590,3,0,0
392,310,1,20,130,220,400,512,0,500,64,1,0,76990,3,0,0
394,340,1,20,150,220,400,512,0,500,64,0,0,44990,3,17,3
395,310,1,20,130,220,400,512,0,500,64,1,1,84990,3,17,2
396,320,1,20,110,220,400,512,0,500,64,1,1,86999,4,3,0
397,350,1,20,130,230,400,512,0,500,64,1,0,78000,4,512,85
398,340,1,20,150,220,400,512,0,500,64,0,0,73063,3,17,3
400,350,1,20,130,230,400,512,0,500,64,1,1,100990,3,0,0
401,320,1,20,150,220,400,512,0,500,64,1,1,74990,3,3,1
402,310,1,20,110,220,400,512,0,500,64,0,0,75990,4,1365,137
403,320,1,20,130,220,400,512,0,500,32,1,1,84086,3,8,3
404,310,1,20,130,220,400,1024,0,500,64,0,0,75990,4,368,48
405,310,1,20,130,220,400,1024,0,500,64,1,1,77990,4,202,26
406,310,1,20,110,220,400,1024,0,500,64,1,0,77990,4,187,26
407,380,1,20,110,230,420,1024,0,520,64,1,0,179990,4,31,3
408,380,1,20,110,230,420,1024,0,520,64,1,0,179990,4,91,5
409,310,1,20,110,220,400,1024,0,500,64,0,0,82990,4,844,118
410,310,1,20,130,220,400,1024,0,500,64,1,0,87990,3,0,0
411,310,1,20,130,220,400,1024,0,500,64,0,0,84500,4,3,0
412,360,1,20,130,220,420,1024,0,500,64,0,0,74190,4,21,3
413,320,1,20,130,220,400,1024,0,500,64,1,1,64990,3,4,0
414,320,1,20,110,220,400,512,512,500,64,3,0,155411,3,0,0
415,320,1,20,110,220,400,512,512,500,64,3,0,125394,3,0,0
416,330,1,20,130,220,400,0,1024,500,64,0,0,49990,3,0,0
417,330,1,20,130,220,400,0,1024,500,64,1,0,46990,3,253,28
418,360,1,20,130,220,400,0,1024,500,64,1,1,48990,3,470,46
419,330,1,20,150,220,400,0,1024,500,64,1,1,59999,4,118,28
